-- Found ament_cmake: 1.3.9 (/opt/ros/humble/share/ament_cmake/cmake)
-- Override CMake install command with custom implementation using symlinks instead of copying resources
-- Found open_manipulator_msgs: 2.2.0 (/home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_msgs/share/open_manipulator_msgs/cmake)
-- Found rosidl_generator_c: 3.1.5 (/opt/ros/humble/share/rosidl_generator_c/cmake)
-- Found rosidl_adapter: 3.1.5 (/opt/ros/humble/share/rosidl_adapter/cmake)
-- Found rosidl_generator_cpp: 3.1.5 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
-- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
-- Found open_manipulator_x_libs: 2.3.0 (/home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_libs/share/open_manipulator_x_libs/cmake)
-- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)
-- Found rmw_fastrtps_cpp: 6.2.6 (/opt/ros/humble/share/rmw_fastrtps_cpp/cmake)
-- Using RMW implementation 'rmw_fastrtps_cpp' as default
-- Configuring done
-- Generating done
-- Build files have been written to: /home/x/Desktop/workspace/12-dof-robot/build/open_manipulator_x_master_slave
[35m[1mConsolidate compiler generated dependencies of target open_manipulator_x_master_slave[0m
[ 50%] [32mBuilding CXX object CMakeFiles/open_manipulator_x_master_slave.dir/src/open_manipulator_x_master_slave.cpp.o[0m
[100%] [32m[1mLinking CXX executable open_manipulator_x_master_slave[0m
[100%] Built target open_manipulator_x_master_slave
-- Install configuration: "Debug"
-- Execute custom install script
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/lib/open_manipulator_x_master_slave/open_manipulator_x_master_slave
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/launch/open_manipulator_x_master_slave.launch.py
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/param/open_manipulator_x_master_slave_params.yaml
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/include//open_manipulator_x_master_slave/open_manipulator_x_master_slave.hpp
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/ament_index/resource_index/package_run_dependencies/open_manipulator_x_master_slave
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/ament_index/resource_index/parent_prefix_path/open_manipulator_x_master_slave
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/environment/ament_prefix_path.sh
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/environment/ament_prefix_path.dsv
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/environment/path.sh
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/environment/path.dsv
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/local_setup.bash
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/local_setup.sh
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/local_setup.zsh
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/local_setup.dsv
-- Symlinking: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/package.dsv
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/ament_index/resource_index/packages/open_manipulator_x_master_slave
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/cmake/ament_cmake_export_include_directories-extras.cmake
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/cmake/ament_cmake_export_dependencies-extras.cmake
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/cmake/open_manipulator_x_master_slaveConfig.cmake
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/cmake/open_manipulator_x_master_slaveConfig-version.cmake
-- Up-to-date symlink: /home/x/Desktop/workspace/12-dof-robot/install/open_manipulator_x_master_slave/share/open_manipulator_x_master_slave/package.xml
